sequence_id,doi,title,relevance_level,oa_pdf,download_status,local_pdf_path,pdf_sha256,priority
37,10.1109/tnet.2024.3495660,Trident: Interference Avoidance in Multi-Reader Backscatter Network via Frequenc,R3,https://arxiv.org/pdf/2503.24148,downloaded,pdfs/chunk_001/0036_zou_trident-interference-avoidance.pdf,79339efa56d24ac03c6a97ef331fca75e99b58c20fd1538023d8c9d12a28c65e,3
420,10.1109/ton.2025.3646971,From 5G RAN Queue Dynamics to Playback: A Performance Analysis for QUIC Video St,R3,https://arxiv.org/pdf/2508.15087,downloaded,pdfs/chunk_001/0384_sidhu_from-5g-ran-queue-dynamics-to.pdf,341cd84e562476e32ab04ffdfaf4f63e02b6cade95294e861b8d7b09e1c131a8,3
442,10.1109/ton.2025.3650266,NeuroBA: Neuro-Symbolic Bitrate Adaptation for IRS-Aided Mobile Video Streaming,R3,https://mdsoar.org/bitstreams/9ae8c1f7-8275-45c4-a029-5b2dcd7d3480/download,downloaded,pdfs/chunk_001/0395_chen_neuroba-neuro-symbolic-bitrate.pdf,6b155330c4a0dcd275c3c4f338226b5c6b3b3b6a1b48738608da6404641c854e,3
610,10.1109/ton.2026.3692809,Joint Optimization of DNN Model Caching and Request Routing in Mobile Edge Compu,R3,https://arxiv.org/pdf/2511.03159,downloaded,pdfs/chunk_001/0568_qiu_joint-optimization-of-dnn-mode.pdf,f04af4edb7c20354cc5ccb2ffce7143d2c65d5efecca14649c8c0e737e8adcbb,3
631,10.1109/ton.2026.3699469,Geometric Fairness-Aware Routing for Federated Edge Networks,R3,https://arxiv.org/pdf/2606.26125,downloaded,pdfs/chunk_001/0580_rahman_geometric-fairness-aware-routi.pdf,78f4455b7c6aebbea46c490089dcfb489cd1ac1e5a8257f3db01d4ca2286ab17,3
652,10.1109/ton.2026.3705395,DK-Root: A Joint Data-and-Knowledge-Driven Framework for Root Cause Analysis of ,R3,https://arxiv.org/pdf/2511.11737,downloaded,pdfs/chunk_001/0607_li_dk-root-a-joint-data-and-knowl.pdf,e42239a94171330afe3f631e5eb2d6ec6e0f52eaa2be749763c0acc2ff5ef522,3
40,10.1109/tnet.2024.3497958,Resilient Collaborative Caching for Multi-Edge Systems With Robust Federated Dee,R4,https://eprints.lancs.ac.uk/id/eprint/226208/1/Manuscript_TNET-2024-00196.pdf,downloaded,pdfs/chunk_001/0044_chen_resilient-collaborative-cachin.pdf,18b04428708dffde342346710f8b77a41dc7de96d39b2b31cbc87d2f2ae12838,4
90,10.1109/ton.2025.3531129,RIFO: Pushing the Efficiency of Programmable Packet Schedulers,R4,https://pure.tue.nl/ws/files/362670108/RIFO_Pushing_the_Efficiency_of_Programmable_Packet_Schedulers.pdf,downloaded,pdfs/chunk_001/0085_mostafaei_rifo-pushing-the-efficiency-of.pdf,05be0fd60cc9bb0bcb308a994babbcd2b9f3a1c83aad0e4c43730fe9e949dc63,4
100,10.1109/ton.2025.3538982,Non-Stationary Gradient Descent for Optimal Auto-Scaling in Serverless Platforms,R4,https://hal.science/hal-04942350v1/file/SGD_autoscaling.pdf,pending,,,4
196,10.1109/ton.2025.3578455,Data Center Scheduling With Network Tasks,R4,https://hal.science/hal-05359397/document,pending,,,4
218,10.1109/ton.2025.3585661,Decision-Epochs Matter: Unveiling Its Impact on the Stability of Scheduling With,R4,https://hal.science/hal-05196230/document,pending,,,4
249,10.1109/ton.2025.3592491,Cost-Driven Prunings for Iterative Solving of Constrained Routing Problem With S,R4,https://arxiv.org/pdf/2503.08262,downloaded,pdfs/chunk_001/0235_mosharev_cost-driven-prunings-for-itera.pdf,d6f2e229567ea8a0d38b693f9658d7319c1ad077e88fcacc7fe9d9771a0bc8cc,4
252,10.1109/ton.2025.3593509,SpiralShard: Highly Concurrent and Secure Blockchain Sharding via Linked Cross-S,R4,https://arxiv.org/pdf/2407.08651,downloaded,pdfs/chunk_001/0236_lin_spiralshard-highly-concurrent.pdf,b8a449bcf9e5638cda2bfe3ac758d87ec1cf22ad6c5c7c799158372d3f7c33a7,4
286,10.1109/ton.2025.3598374,DSecO: Domain Name System (DNS) Data as a Knowledge Graph for Enhanced Security ,R4,https://hal.science/hal-04887392v1/file/dns_kg_HAL_2025-01-14-preprint.pdf,pending,,,4
338,10.1109/ton.2025.3620121,Decoherence-Aware Entangling and Swapping Strategy Optimization for Entanglement,R4,,downloaded,pdfs/chunk_001/0314_huang_decoherence-aware-entangling-a.pdf,17e79f5e6b40a0b8db33d384d89159b47405f7d11fd52613d630e6e7532450bb,4
361,10.1109/ton.2025.3626488,"Dynamic D2D-Assisted Federated Learning Over O-RAN: Performance Analysis, MAC Sc",R4,https://arxiv.org/pdf/2404.06324,downloaded,pdfs/chunk_001/0329_abdisarabshali_dynamic-d2d-assisted-federated.pdf,00bbaa4c2efb91b9a217732d0233acc17f19784ea4c5c2ed409f49a99cc661aa,4
448,10.1109/ton.2026.3651474,Consistent Channel Hopping Algorithms for the Multichannel Rendezvous Problem Wi,R4,https://arxiv.org/pdf/2506.18381,downloaded,pdfs/chunk_001/0401_liu_consistent-channel-hopping-alg.pdf,99ff9429891406d012f1bef0f6397403c24773f900018296696e895945f80523,4
