sequence_id,title,authors,doi,journal_title,issn,volume,issue,pages_or_article_number,doi_year,first_online_date,early_access_date,formal_publication_date,dblp_year,publication_status,metadata_sources,source_urls,abstract,keywords,relevance_level,relevance_reason,fulltext_status,local_pdf_path,pdf_sha256,conflict_notes,manually_verified,first_author
1,SpiderNet: Enabling Bot Identification in Network Topology Obfuscation Against Link Flooding Attacks,Xuanbo Huang; Kaiping Xue; Zixu Huang; Jiangping Han; Lutong Chen; David S. L. Wei; Qibin Sun; Jun Lu 0001,10.1109/tnet.2024.3473742,IEEE Transactions on Networking,2998-4157,33,1,99-113,,2024-10-15,,2025-02,2025,formal_volume_article,crossref+openalex+dblp,https://doi.org/10.1109/tnet.2024.3473742,"Link-flooding attacks (LFAs) pose a significant challenge to Internet availability by attacking critical network links with high volumes of seemingly legitimate traffic. In response, researchers have developed network topology obfuscation (NTO) to safeguard critical links. However, state-of-the-art NTO defenses are coarse-grained, leading to less efficient security and usability. In addition, once under attack, NTO schemes cannot identify the attacker’s bot and launch counter-defensive measures. To address these issues, this paper introduces SpiderNet, which employs advanced obfuscation techniques to secure critical links while using strategically created honeypot links for effective bot identification. When adversaries probe the network, SpiderNet captures their probing behavior and deliberately feeds back misinformation about honeypot links. By analyzing the attack patterns directed at these decoy targets, SpiderNet correlates them with adversarial probing activities to effectively identify the bots. Our experiments demonstrate that SpiderNet is more robust than state-of-the-art NTO schemes in terms of security and usability, while also being capable of identifying LFA bots.",,R4,,closed,,,,False,Xuanbo Huang
2,Optimal Indexing: An Efficient Feature-Based Indexing Framework for Similarity Data Sharing at the Network Edge,Yuchen Sun 0001; Lailong Luo; Deke Guo; Li Liu 0002; Bangbang Ren,10.1109/tnet.2024.3473853,IEEE Transactions on Networking,2998-4157,33,1,78-98,,2024-10-30,,2025-02,2025,formal_volume_article,crossref+openalex+dblp,https://doi.org/10.1109/tnet.2024.3473853,"Edge storage systems have drawn many efforts to extend the storage and service capabilities of cloud data centers. A pivotal aspect lies in the data-sharing mechanism, which integrates geographically dispersed weak edge servers into an efficient storage system. It enables users to launch data operations at any server and retrieve the desired data across the distributed system. However, it remains open to meeting the increasing demand for similarity retrieval across edge servers. The intrinsic reason is that the existing solutions can only return an exact data match for a query while more general edge applications require the data similar to a query input from any server. To fill this gap, this paper pioneers the similarity edge data sharing mechanism, a new paradigm to support high-dimensional similarity search at network edges. First, through deeply thinking about the nature of similarity data sharing, we propose the problem of Optimal Indexing and formulate it as the optimal transport problem from the data space to the network space. On this basis, we propose Prophet, the first known architecture for similarity data indexing at the edge. We first divide the feature space of data into plenty of subareas, then project both subareas and edge servers into a virtual space where the distance between any two points can reflect not only data similarity but also network latency. When any edge server submits a request for data insert, delete, or query, it computes the data feature and the virtual coordinate; and then iteratively forwards the request via greedy routing based on the forwarding tables and the virtual coordinates. By Prophet, similar high-dimensional features would be stored by a common server or several nearby servers. Compared with distributed hash tables in P2P networks, Prophet requires to visit logarithmic servers for a data request and reduces the network latency from the logarithmic to the constant level of the server number. Evaluation results indicate that Prophet achieves the comparable retrieval accuracy and significantly shortens the query latency compared with centralized schemes, while the load balancing performance is nearly optimal.",,R4,,closed,,,,False,Yuchen Sun 0001
3,Age of Information for Multiple-Source Multiple-Server Networks,Alireza Javani; Marwen Zorgui; Zhiying Wang 0001,10.1109/tnet.2024.3474052,IEEE Transactions on Networking,2998-4157,33,1,17-34,,2024-10-25,,2025-02,2025,formal_volume_article,crossref+openalex+dblp,https://doi.org/10.1109/tnet.2024.3474052,"Having timely and fresh knowledge about the current status of information sources is critical in a variety of applications, where the status update arrives at the destination later than its generation time due to processing and communication delays. The freshness of the status update at the destination is captured by the notion of the age of information. In this study, we analyze a multiple sensing network with multiple sources, multiple servers, and a monitor (destination). Each source corresponds to an independent piece of information, and its age is individually measured. Given a particular source, the servers independently sense the source of information and send the status update to the monitor. We assume that updates arrive at the servers according to Poisson random processes. Each server sends its updates to the monitor through a direct link, which is modeled as a queue. The service time to transmit an update is considered to be an exponential random variable. We examine both homogeneous and heterogeneous service and arrival rates for the single-source case, and homogeneous arrival and service rates for the multiple-source case. We derive a closed-form expression for the average age of information under a last-come-first-serve (LCFS) queue for a single source and an arbitrary number of homogeneous servers. Using a recursive method, we derive the explicit average age of information for any number of sources and homogeneous servers. We also investigate heterogeneous servers and a single source, and present efficient algorithms for finding the average age of information. Optimal update scheduling strategies are also investigated in several scenarios, providing insights into enhancing the system performance in terms of update freshness.",,R4,,closed,,,,False,Alireza Javani
4,A Resource-Efficient Content Sharing Mechanism in Large-Scale UAV Named Data Networking,Chenlang Jin; Haipeng Yao; Tianle Mai; Jiaqi Xu; Qi Zhang 0043; F. Richard Yu,10.1109/tnet.2024.3474888,IEEE Transactions on Networking,2998-4157,33,1,114-129,,2024-10-15,,2025-02,2025,formal_volume_article,crossref+openalex+dblp,https://doi.org/10.1109/tnet.2024.3474888,"In recent years, there has been significant attention in UAV Named Data Networking (UNDN) from both industry and academia. This network paradigm adopts a “request-reply” communication model that allows UAVs to access desired content without the need for specific information regarding the geographical location or IP address of the content producer. This IP-independent design is well-suited for dynamic UAV swarms, but it presents challenges in establishing matching policies between content consumers and producers. This is because that during the distributed decision-making process in content sharing, consumers cannot possess private information regarding producers, and producers may lack the motivation to distribute content. As a result, a revelation and incentive mechanism is needed to be formulated in the system. In this paper, a resource-efficient content-sharing mechanism is proposed to address the aforementioned challenges. First, we propose a contract-based mechanism to incentivize content producers to share content and reveal their private information at the same time. The problem of obtaining the optimal contract is discussed in both cases of information asymmetry and complete information. Then, the Gale-Shapley (GS) algorithm is adopted to make a stable many-to-one matching between content consumers and content producers. The simulation results verify the feasibility, effectiveness and energy efficiency of the proposed mechanism.",,R4,,closed,,,,False,Chenlang Jin
5,Provably Efficient Service Function Chain Embedding and Protection in Edge Networks,Danyang Zheng; Xiaojun Cao,10.1109/tnet.2024.3475248,IEEE Transactions on Networking,2998-4157,33,1,178-193,,2024-10-11,,2025-02,2025,formal_volume_article,crossref+openalex+dblp,https://doi.org/10.1109/tnet.2024.3475248,"Internet-connected devices generate service function chain (SFC) requests for reliability-sensitive applications such as smart factories and intelligent healthcare. To facilitate reliable SFC provisioning, one can employ dedicated SFC protection approaches to protect the primary service function path (SFP) by constructing a fault-disjointed backup SFP. Notably, the construction processes of the fault-disjointed primary and backup SFPs are interdependent, and the direct application of existing SFC embedding approaches to construct these SFPs by separate processes may not effectively optimize overall resource consumption. In this work, for the first time, we comprehensively study how to embed and protect an SFC through collaborative processes that have provable bounds. We formally define the problem of SFC embedding and protection (SFCEP), for which we develop the novel techniques of a backup SFP identifier (BSI) and resource-aware Bellman-Ford loop (RBL) to address the challenges posed by collaborative embedding and protection. On the basis of these techniques, we propose an efficient algorithm called optimal SFC embedding and protection (Opt-SEP). When the network resources are sufficient to accommodate an incoming SFC request, we prove that Opt-SEP can minimize the overall resource cost of creating a pair of fault-disjointed primary and backup SFPs. Moreover, for cases in which the network resources are limited, our extensive simulation results show that Opt-SEP significantly outperforms the benchmarks.",,R4,,closed,,,,False,Danyang Zheng
6,A Fast Heuristic Entanglement Distribution Algorithm for Quantum Repeater Chains,Wenkang Cen; Jinbei Zhang; Kechao Cai; Shihai Sun; John C. S. Lui,10.1109/tnet.2024.3475378,IEEE Transactions on Networking,2998-4157,33,1,146-161,,2024-10-17,,2025-02,2025,formal_volume_article,crossref+openalex+dblp,https://doi.org/10.1109/tnet.2024.3475378,"Entanglement distribution via probabilistic entanglement swapping across a quantum repeater chain connecting two quantum nodes is a challenging problem. The difficulty lies in the exponential number of possible swapping structures within the repeater chain, necessitating efficient search algorithms, especially as the chain length increases. In this paper, we first explore the algorithmic design to facilitate the search for the optimal swapping structure along a repeater chain, aiming to maximize the entanglement distribution rate. Second, we examine the computational complexities of various algorithms and find that prior approaches exhibit excessively high complexities. Thus, we propose an efficient dynamic programming-based algorithm, FastHED, that leverages heuristics to expedite the search for the optimal swapping structure. Our theoretical analysis reveals that the upper bound of the proposed algorithm’s computational complexity is $O(n(\log n)^{3})$ (more precisely, $O(n(\log n)^{2} \log \log n)$ when $n\le 2^{29}$ ), a significant improvement over the existing algorithm with a complexity of $O(n^{2} \log n)$ , where n denotes the repeater chain’s length. Additionally, we design a best-first framework to evaluate the performance of different algorithms. Numerical results show that our algorithm achieves a higher average entanglement distribution rate than existing algorithms.",,R4,,closed,,,,False,Wenkang Cen
7,Age-Based Multi-Channel-Scheduling Under Constraints: Optimal and Online Designs,Xujin Zhou; Irem Koprulu; Atilla Eryilmaz,10.1109/tnet.2024.3476144,IEEE Transactions on Networking,2998-4157,33,1,51-64,,2024-10-18,,2025-02,2025,formal_volume_article,crossref+openalex+dblp,https://doi.org/10.1109/tnet.2024.3476144,"We study the optimal scheduling problem where n source nodes attempt to transmit updates over L shared wireless on/off fading channels to optimize their age performance under energy and age-violation tolerance constraints. Specifically, we provide a generic formulation of age-optimization in the form of a constrained Markov Decision Process (CMDP), and obtain the optimal scheduler as the solution of an associated Linear Programming problem. We investigate the characteristics of the optimal single-user multi-channel scheduler under different age-related objectives where a usual threshold-based policy does not apply. We then investigate the stability region of the optimal scheduler for the multi-user case under age-violation tolerance constraints. Furthermore, we develop two online schedulers that do not require statistics and are amenable to scalable operation: Drift-plus-penalty-based design, and a novel variation of the well-known Q-learning-based reinforcement learning method that combines Q-learning with drift-minimization-methods successfully for the first time, to the best of our knowledge. Our numerical studies compare the performance of our online schedulers to the optimal scheduler to reveal that both algorithms capture the essential behavior of the optimal design under different scenarios with good scalability, with the Q-learning-based design providing even closer performance to the optimal one by utilizing the history of the drift in a novel way.",,R3,,closed,,,,False,Xujin Zhou
8,NarrowGap: Reducing Bottlenecks for End-to-End Entanglement Distribution in Quantum Networks,Zhonghui Li; Jian Li 0031; Kaiping Xue; Lutong Chen; Nenghai Yu; Qibin Sun; Jun Lu 0001,10.1109/tnet.2024.3476342,IEEE Transactions on Networking,2998-4157,33,1,162-177,,2024-10-16,,2025-02,2025,formal_volume_article,crossref+openalex+dblp,https://doi.org/10.1109/tnet.2024.3476342,"Quantum networks, which work by establishing entanglement between distant quantum end nodes (known as end-to-end entanglement distribution), are the promising infrastructure for quantum applications. However, the inherent loss in quantum channels and quantum decoherence contribute to the scarcity of entanglement resources in quantum networks. Consequently, there is an inevitable gap between available entanglement resources and requests’ demands, significantly hindering concurrent end-to-end entanglement distributions. In this paper, we present NarrowGap, an end-to-end entanglement distribution design that can alleviate the negative impact of entanglement resource scarcity on the request service capability of quantum networks. At the heart of NarrowGap, the resource transfer scheme (RTS) is designed to transfer idle entanglement resources to boost the bottlenecks’ capacities based on the unique feature of entanglement swapping, thus narrowing the gap between available entanglement resources and requests’ demands for end-to-end entanglements. Besides, NarrowGap presents a resource allocation scheme (RAS) to guarantee fairness, considering both the success probability of end-to-end entanglement distribution and each request’s demand, to address resource competition in bottlenecks. Extensive simulations demonstrate that NarrowGap outperforms three representative schemes and can achieve more than twice the performance improvement in request service rate.",,R3,,closed,,,,False,Zhonghui Li
9,DiffECN: Differential ECN Marking for Datacenter Networks,Hanlin Huang; Ke Xu 0002; Tong Li 0014; Zhuotao Liu; Xinle Du; Xiangyu Gao,10.1109/tnet.2024.3477511,IEEE Transactions on Networking,2998-4157,33,1,210-225,,2024-10-17,,2025-02,2025,formal_volume_article,crossref+openalex+dblp,https://doi.org/10.1109/tnet.2024.3477511,"ECN marking has been integrated into datacenter switches to enable high-throughput and low-latency transport. We observe that current marking schemes are coarse-grained: they blindly mark all flows when congestion occurs, causing large flows to occupy undeserved bandwidth and preventing newly arriving small flows from finishing quickly. In this paper, we propose DiffECN, a differential marking strategy that marks only the flows that are the culprits of congestion and protects the remaining flows from being limited. We have implemented it in the Barefoot Tofino switch and performed extensive evaluations via both physical testbed and large-scale simulations. The results show that DiffECN can restrain flows responsible for congestion successfully while providing desirable network performance. For instance, compared to the legacy way of ECN marking, DiffECN achieves up to 32.5% (40.1%) lower average (99th percentile) flow completion time (FCT) for small flows while delivering similar FCT for large flows under production workloads.",,R3,,closed,,,,False,Hanlin Huang
10,Approximation Algorithm and Applications for Connected Submodular Function Maximization Problems,Ziming Wang; Jing Li 0093; He Xue 0001; Wenzheng Xu; Weifa Liang; Zichuan Xu; Jian Peng 0002; Pan Zhou 0001; Xiaohua Jia; Sajal K. Das 0001,10.1109/tnet.2024.3477532,IEEE Transactions on Networking,2998-4157,33,1,241-254,,2024-10-17,,2025-02,2025,formal_volume_article,crossref+openalex+dblp,https://doi.org/10.1109/tnet.2024.3477532,"In this paper, we study a connected submodular function maximization problem, which arises from many applications including deploying UAV networks to serve users and placing sensors to cover Points of Interest (PoIs). Specifically, given a budget K, the problem is to find a subset S with K nodes from a graph G, so that a given submodular function $f(S)$ on S is maximized and the induced subgraph $G[S]$ by the nodes in S is connected, where the submodular function f can be used to model many practical application problems, such as the number of users within different service areas of the deployed UAVs in S, the sum of data rates of users served by the UAVs, the number of covered PoIs by placed sensors, etc. We then propose a novel $\frac {1-1/e}{2h+2}$ -approximation algorithm for the problem, improving the best approximation ratio $\frac {1-1/e}{2h+3}$ for the problem so far, through estimating a novel upper bound on the problem and designing a smart graph decomposition technique, where e is the base of the natural logarithm, h is a parameter that depends on the problem and its typical value is 2. In addition, when $h=2$ , the algorithm approximation ratio is at least $\frac {1-1/e}{5}$ and may be as large as 1 in some special cases when $K\le 23$ , and is no less than $\frac {1-1/e}{6}$ when $K\ge 24$ , compared with the current best approximation ratio $\frac {1-1/e}{7}\left ({{=\frac {1-1/e}{2h+3}}}\right)$ for the problem. Finally, experimental results in the application of deploying a UAV network demonstrate that, the number of users within the service area of the deployed UAV network by the proposed algorithm is up to 7.5% larger than those by existing algorithms, and the throughput of the deployed UAV network by the proposed algorithm is up to 9.7% larger than those by the algorithms. Furthermore, the empirical approximation ratio of the proposed algorithm is between 0.7 and 0.99, which is close to the theoretical maximum value one.",,R4,,closed,,,,False,Ziming Wang
11,Kollaps: Decentralized and Efficient Network Emulation for Large-Scale Systems,Sebastião Amaro; Miguel Matos; Valerio Schiavoni,10.1109/tnet.2024.3478050,IEEE Transactions on Networking,2998-4157,33,1,35-50,,2024-10-29,,2025-02,2025,formal_volume_article,crossref+openalex+dblp,https://doi.org/10.1109/tnet.2024.3478050,"The performance and behavior of distributed systems is highly influenced by network properties, latency, bandwidth, packet loss, and jitter. When developing a distributed system, questions like, “how sensitive is the application’s performance to network latency and bandwidth?” commonly arise. Answering these questions systematically and in a reproducible manner is very hard due to the variability and lack of control over the network. Moreover, state-of-the-art approaches are focused exclusively on the control plane, lack support for network dynamics or do not scale beyond a single machine or small cluster, which further aggravates this problem. Kollaps is a distributed, scalable, and efficient network emulator addressing these limitations by hinging on two observations. First, from an application’s perspective, what matters are the emergent end-to-end properties (e. g., latency, bandwidth, jitter) rather than the internal state of the routers and switches leading to those properties. Second, this model is amenable to decentralized management, allowing the emulation to scale with the number of machines required by the application. This premise allows for building a simpler, dynamic emulation model that does not require maintaining the full network state. Kollaps is agnostic of the application language and transport protocol, scales to thousands of application nodes, and is accurate when compared against a bare-metal deployment or state-of-the-art approaches that emulate the full network state. We use Kollaps to accurately reproduce results from the literature and predict the behavior of complex unmodified distributed systems under different network dynamics.",,R4,,closed,,,,False,Sebastião Amaro
