# Time(s), X(m), Y(m)
0.000, 11.7, 5.0
16.822, 11.7, 5.0
21.578, 36.1, 5.0
41.440, 36.1, 5.0
41.441, 38.8, 5.0
59.574, 38.8, 5.0
61.475, 9.3, 5.0
63.650, 19.0, 5.0
86.607, 19.0, 5.0
91.585, 38.3, 5.0
104.638, 38.3, 5.0
108.318, 29.1, 5.0
126.010, 29.1, 5.0
126.011, 42.9, 5.0
148.958, 42.9, 5.0
151.746, 40.0, 5.0
166.695, 40.0, 5.0
168.835, 15.1, 5.0
171.209, 20.9, 5.0
181.271, 20.9, 5.0
183.364, 50.0, 5.0
185.890, 43.0, 5.0
203.098, 43.0, 5.0
203.099, 18.8, 5.0
223.793, 18.8, 5.0
226.455, 23.8, 5.0
246.530, 23.8, 5.0
250.633, 13.2, 5.0
265.453, 13.2, 5.0
268.855, 30.5, 5.0
290.960, 30.5, 5.0
292.009, 18.1, 5.0
294.490, 21.0, 5.0
306.994, 21.0, 5.0
309.379, 24.8, 5.0
311.280, 23.8, 5.0
326.471, 23.8, 5.0
328.907, 7.4, 5.0
352.026, 7.4, 5.0
356.916, 38.8, 5.0
372.673, 38.8, 5.0
374.229, 17.4, 5.0
377.177, 22.8, 5.0
388.616, 22.8, 5.0
390.937, 50.0, 5.0
394.239, 42.3, 5.0
413.490, 42.3, 5.0
414.552, 8.8, 5.0
417.743, 19.3, 5.0
430.020, 19.3, 5.0
430.021, 34.5, 5.0
448.117, 34.5, 5.0
453.490, 12.8, 5.0
476.483, 12.8, 5.0
477.772, 30.1, 5.0
481.128, 24.9, 5.0
495.958, 24.9, 5.0
499.874, 38.1, 5.0
523.161, 38.1, 5.0
525.553, 47.2, 5.0
527.247, 44.6, 5.0
549.152, 44.6, 5.0
554.232, 42.1, 5.0
564.899, 42.1, 5.0
567.125, 2.0, 5.0
569.914, 6.7, 5.0
593.669, 6.7, 5.0
595.494, 48.3, 5.0
597.665, 38.4, 5.0
621.872, 38.4, 5.0
623.033, 32.0, 5.0
625.227, 33.7, 5.0
645.899, 33.7, 5.0
649.593, 32.3, 5.0
667.130, 32.3, 5.0
668.540, 8.8, 5.0
671.046, 15.5, 5.0
682.815, 15.5, 5.0
688.650, 28.6, 5.0
703.830, 28.6, 5.0
705.336, 48.5, 5.0
707.655, 42.3, 5.0
725.693, 42.3, 5.0
730.893, 34.7, 5.0
741.111, 34.7, 5.0
742.179, 42.6, 5.0
745.014, 40.6, 5.0
760.235, 40.6, 5.0
762.887, 21.3, 5.0
774.882, 21.3, 5.0
777.411, 17.1, 5.0
796.856, 17.1, 5.0
796.857, 44.3, 5.0
815.808, 44.3, 5.0
818.846, 28.4, 5.0
840.176, 28.4, 5.0
841.315, 21.9, 5.0
843.077, 23.9, 5.0
860.318, 23.9, 5.0
862.026, 35.0, 5.0
865.383, 31.6, 5.0
879.315, 31.6, 5.0
883.335, 43.8, 5.0
907.827, 43.8, 5.0
912.440, 12.8, 5.0
933.354, 12.8, 5.0
934.529, 2.0, 5.0
937.860, 5.3, 5.0
961.388, 5.3, 5.0
963.781, 23.9, 5.0
984.241, 23.9, 5.0
984.242, 10.8, 5.0
1008.895, 10.8, 5.0
1013.991, 27.2, 5.0
1030.761, 27.2, 5.0
1030.762, 33.4, 5.0
1053.938, 33.4, 5.0
1055.326, 27.2, 5.0
1057.476, 29.0, 5.0
1076.594, 29.0, 5.0
1080.762, 7.0, 5.0
1098.924, 7.0, 5.0
1098.925, 25.1, 5.0
1109.082, 25.1, 5.0
1112.366, 33.5, 5.0
1125.396, 33.5, 5.0
1130.186, 42.1, 5.0
1146.937, 42.1, 5.0
1148.848, 21.7, 5.0
1151.478, 27.2, 5.0
1167.283, 27.2, 5.0
1169.274, 21.2, 5.0
1170.852, 23.1, 5.0
1182.151, 23.1, 5.0
1184.490, 13.4, 5.0
1200.000, 13.4, 5.0
