sim_t,client,soc,temp,throttled,alive,ul,dl,power_W,scale
0,0,0.299107,25.3377,0,1,3.78728,3.78728,4.50208,1
0,1,0.249107,25.3377,0,1,3.78728,3.78728,4.50208,1
0,2,0.547527,25.9347,0,1,14.3139,14.3139,12.4624,1
0,3,0.599107,25.3377,0,1,3.78728,3.78728,4.50208,1
0,4,0.347527,25.9347,0,1,14.3139,14.3139,12.4624,1
0,5,0.279107,25.3377,0,1,3.78728,3.78728,4.50208,1
0,6,0.799341,25.9347,0,1,14.3139,14.3139,12.4624,1
0,7,0.9,25.3377,0,1,3.78728,3.78728,4.50208,1
0.1,0,0.298152,25.693,0,1,4.25368,4.25368,4.81239,1
0.1,1,0.248152,25.693,0,1,4.25368,4.25368,4.81239,1
0.1,2,0.546385,26.3508,0,1,5.62369,5.62369,5.75536,1
0.1,3,0.598152,25.693,0,1,4.25368,4.25368,4.81239,1
0.1,4,0.346385,26.3508,0,1,5.62369,5.62369,5.75536,1
0.1,5,0.278152,25.693,0,1,4.25368,4.25368,4.81239,1
0.1,6,0.799036,26.3508,0,1,5.62369,5.62369,5.75536,1
0.1,7,0.9,25.693,0,1,4.25368,4.25368,4.81239,1
0.2,0,0.296854,26.1721,0,1,6.72472,6.72472,6.54228,1
0.2,1,0.246854,26.1721,0,1,6.72472,6.72472,6.54228,1
0.2,2,0.544413,27.0738,0,1,11.1951,11.1951,9.94093,1
0.2,3,0.596854,26.1721,0,1,6.72472,6.72472,6.54228,1
0.2,4,0.344413,27.0738,0,1,11.1951,11.1951,9.94093,1
0.2,5,0.276854,26.1721,0,1,6.72472,6.72472,6.54228,1
0.2,6,0.79851,27.0738,0,1,11.1951,11.1951,9.94093,1
0.2,7,0.9,26.1721,0,1,6.72472,6.72472,6.54228,1
0.3,0,0.293839,27.2921,0,1,17.5646,17.5646,15.1938,1
0.3,1,0.243839,27.2921,0,1,17.5646,17.5646,15.1938,1
0.3,2,0.54214,27.8985,0,1,13.0851,13.0851,11.4563,1
0.3,3,0.593839,27.2921,0,1,17.5646,17.5646,15.1938,1
0.3,4,0.34214,27.8985,0,1,13.0851,13.0851,11.4563,1
0.3,5,0.273839,27.2921,0,1,17.5646,17.5646,15.1938,1
0.3,6,0.797904,27.8985,0,1,13.0851,13.0851,11.4563,1
0.3,7,0.9,27.2921,0,1,17.5646,17.5646,15.1938,1
0.4,0,0.290975,28.3364,0,1,16.6718,16.6718,14.4341,1
0.4,1,0.240975,28.3364,0,1,16.6718,16.6718,14.4341,1
0.4,2,0.540421,28.5001,0,1,9.56096,9.56096,8.66536,1
0.4,3,0.590975,28.3364,0,1,16.6718,16.6718,14.4341,1
0.4,4,0.340421,28.5001,0,1,9.56096,9.56096,8.66536,1
0.4,5,0.270975,28.3364,0,1,16.6718,16.6718,14.4341,1
0.4,6,0.797445,28.5001,0,1,9.56096,9.56096,8.66536,1
0.4,7,0.9,28.3364,0,1,16.6718,16.6718,14.4341,1
0.5,0,0.288463,29.2304,0,1,14.5549,14.5549,12.6615,1
0.5,1,0.238463,29.2304,0,1,14.5549,14.5549,12.6615,1
0.5,2,0.539944,28.6219,0,1,0.146313,0.146313,2.40239,1
0.5,3,0.588463,29.2304,0,1,14.5549,14.5549,12.6615,1
0.5,4,0.339944,28.6219,0,1,0.146313,0.146313,2.40239,1
0.5,5,0.268463,29.2304,0,1,14.5549,14.5549,12.6615,1
0.5,6,0.797318,28.6219,0,1,0.146313,0.146313,2.40239,1
0.5,7,0.9,29.2304,0,1,14.5549,14.5549,12.6615,1
0.6,0,0.285718,30.1977,0,1,15.9635,15.9635,13.8364,1
0.6,1,0.235718,30.1977,0,1,15.9635,15.9635,13.8364,1
0.6,2,0.538011,29.2921,0,1,10.9408,10.9408,9.74019,1
0.6,3,0.585718,30.1977,0,1,15.9635,15.9635,13.8364,1
0.6,4,0.338011,29.2921,0,1,10.9408,10.9408,9.74019,1
0.6,5,0.265718,30.1977,0,1,15.9635,15.9635,13.8364,1
0.6,6,0.796803,29.2921,0,1,10.9408,10.9408,9.74019,1
0.6,7,0.9,30.1977,0,1,15.9635,15.9635,13.8364,1
