traceMode, serverBtl, seed, avg_thp, min_thp, tail_thp
0, 100, 42, 9108627.50, 8686520.00, 0.13
0, 100, 6, 9410432.50, 8757570.00, 0.14
0, 100, 777, 9327515.00, 8864130.00, 0.10
0, 300, 42, 10922225.00, 10404200.00, 0.10
0, 300, 777, 11135250.00, 10483100.00, 0.08
0, 300, 6, 11252562.50, 10335000.00, 0.10
1, 100, 777, 10112728.75, 9604190.00, 0.05
1, 100, 42, 10028701.25, 9685050.00, 0.06
1, 100, 6, 10240861.25, 9680410.00, 0.04
1, 300, 42, 17670937.50, 16796800.00, 0.03
1, 300, 777, 17972975.00, 16950700.00, 0.03
1, 300, 6, 18341012.50, 16660100.00, 0.03
