policy,mlpred,nclient,seed,qoeType,avg_thp,min_thp,tail_thp,qoe,avg_rtt,rtt90
2,0,3,55,2,371176.0,255152.0,0.97,0.11,21995.97,12088.67
2,0,3,42,2,215981.0,147222.0,0.97,0.1,40445.87,23950.67
2,0,3,777,2,356386.0,151377.0,0.95,0.12,44282.0,31960.33
2,0,3,20,2,188135.33,151605.0,0.98,0.1,38267.2,12580.67
2,0,3,6,2,459222.0,150543.0,0.94,0.13,45513.83,35294.67
2,0,3,7,2,202627.33,150106.0,0.98,0.1,38466.63,14443.0
2,0,3,84,2,189394.23,40192.7,0.98,0.1,62494.47,230213.67
2,0,3,234,2,123333.27,74853.8,0.99,0.1,53284.6,79058.33
2,1,3,55,2,293630.33,141576.0,0.96,0.11,42733.9,25698.0
2,0,3,1000,2,348698.0,206448.0,0.97,0.11,23676.63,10743.0
2,1,3,234,2,172884.33,148227.0,0.98,0.1,39159.8,11128.0
2,0,3,81,2,285593.33,255256.0,0.97,0.11,26160.63,12320.67
2,1,3,7,2,449904.67,150467.0,0.94,0.13,50598.87,43802.0
2,1,3,20,2,647653.33,149195.0,0.91,0.16,63119.2,67842.67
2,1,3,42,2,134599.0,102693.0,0.99,0.1,45604.23,7163.0
2,1,3,777,2,233037.83,39993.5,0.98,0.11,59033.27,229095.67
2,1,3,1000,2,698273.33,150315.0,0.9,0.18,66882.07,74375.33
2,1,3,6,2,110988.57,36169.7,0.99,0.1,77701.6,245683.0
2,1,3,81,2,354049.0,148863.0,0.96,0.12,44697.57,30948.33
2,1,3,84,2,130683.5,92236.5,0.99,0.1,47913.87,10088.33
2,0,4,6,2,245919.75,217673.0,0.98,0.11,28718.28,10147.25
2,0,4,55,2,220881.75,219978.0,0.98,0.1,31904.72,12234.25
2,0,4,42,2,219397.5,219068.0,0.98,0.1,30634.98,10589.25
2,0,4,20,2,172951.48,40097.9,0.99,0.1,55286.7,172067.25
2,0,4,777,2,176199.08,41388.3,0.99,0.1,53904.57,167800.25
2,0,4,7,2,418299.5,250142.0,0.98,0.12,20269.75,10832.25
2,0,4,84,2,248640.25,220519.0,0.97,0.11,31695.92,19388.25
2,0,4,234,2,378745.0,218650.0,0.97,0.12,35611.88,25849.75
2,1,4,55,2,512555.0,110207.0,0.96,0.13,24607.4,10332.5
2,0,4,1000,2,987707.62,40420.5,0.95,0.21,39340.47,171428.25
2,1,4,42,2,734136.75,218119.0,0.92,0.18,55976.75,64221.0
2,0,4,81,2,199891.75,145381.0,0.99,0.1,32267.6,7550.75
2,1,4,7,2,222087.25,220263.0,0.99,0.1,30394.53,9384.25
2,1,4,6,2,236509.75,217986.0,0.98,0.11,30422.82,16134.0
2,1,4,20,2,265486.75,215234.0,0.98,0.11,30525.93,13812.75
2,1,4,84,2,557572.0,206647.0,0.97,0.13,19034.1,11466.0
2,1,4,234,2,461635.0,451684.0,0.97,0.12,22714.15,18468.0
2,1,4,777,2,176199.08,41388.3,0.99,0.1,53902.18,167804.75
2,1,4,1000,2,174355.88,40420.5,0.99,0.1,54878.43,171125.25
2,1,4,81,2,275172.5,216990.0,0.98,0.11,30995.92,17020.5
2,0,6,42,2,305776.67,149100.0,0.99,0.11,25571.58,12847.0
2,0,6,777,2,222392.93,44367.6,1.0,0.11,41291.42,107808.17
2,0,6,55,2,611299.33,254687.0,0.98,0.14,19589.7,15121.33
2,0,6,7,2,245609.33,227171.0,0.99,0.11,28006.27,9094.83
2,0,6,20,2,255316.1,41511.6,0.99,0.11,40511.0,114960.17
2,0,6,6,2,271027.17,249487.0,0.99,0.11,28038.18,12134.67
2,0,6,84,2,633295.17,106611.0,0.98,0.14,21795.5,13357.5
2,0,6,234,2,481810.17,248396.0,0.98,0.12,20674.22,18659.17
2,1,6,84,2,448558.33,94267.0,0.98,0.12,26502.12,18189.67
2,0,6,1000,2,258977.33,245559.0,0.99,0.11,26314.7,8625.83
2,1,6,55,2,493956.17,262619.0,0.97,0.13,26795.52,18785.0
2,0,6,81,2,222266.95,41046.7,1.0,0.11,42884.17,114815.17
2,1,6,777,2,659231.67,164310.0,0.98,0.14,18982.2,13328.0
2,1,6,6,2,571108.5,526918.0,0.97,0.13,24736.45,26932.67
2,1,6,42,2,254957.5,39595.0,0.99,0.11,41503.5,118781.33
2,1,6,7,2,536684.5,364297.0,0.98,0.13,19652.53,16290.5
2,1,6,234,2,250227.48,42099.9,0.99,0.11,40688.83,113948.67
2,1,6,20,2,223476.62,48779.7,1.0,0.11,39481.0,98097.33
2,1,6,1000,2,221457.37,39794.2,1.0,0.11,43609.25,117501.67
2,1,6,81,2,637420.83,254051.0,0.95,0.16,45309.58,45359.17
