policy,mlpred,nclient,seed,avg_thp,qoe,avg_rtt
0,0,3,42,155713.70,0.10,65713.93
0,0,3,7,200097.00,0.10,49176.30
0,0,3,777,292757.33,0.11,41325.43
0,0,3,20,353097.00,0.11,38530.80
0,0,3,55,578145.67,0.13,37137.30
0,0,3,1000,44718.70,0.10,130371.00
0,0,3,6,500647.67,0.12,44002.40
0,0,3,84,366729.00,0.11,42663.57
0,0,3,81,413509.60,0.12,61178.67
0,0,3,234,880613.33,0.17,54096.53
2,0,3,42,85958.50,0.10,79686.13
2,0,3,20,440678.00,0.12,41175.90
2,0,3,777,462014.00,0.12,44641.33
2,0,3,1000,44785.13,0.10,130232.67
2,0,3,7,690998.67,0.15,52970.23
2,0,3,55,902696.67,0.18,57567.13
2,0,3,84,998188.33,0.20,64294.13
2,0,3,81,565013.60,0.14,63994.17
2,0,3,6,1536512.67,0.33,87412.00
2,0,3,234,1320483.33,0.27,81912.13
2,1,3,42,45917.40,0.10,126254.00
2,1,3,777,534505.33,0.13,46403.23
2,1,3,55,719237.67,0.15,54457.23
2,1,3,6,268502.00,0.11,45213.07
2,1,3,7,995867.67,0.20,59809.63
2,1,3,20,919425.00,0.19,60900.90
2,1,3,84,1172393.33,0.24,72651.00
2,1,3,1000,44725.03,0.10,130343.00
2,1,3,234,1320483.33,0.27,81802.83
2,1,3,81,787819.27,0.18,69391.90
0,0,4,55,241573.97,0.11,90998.30
0,0,4,777,320356.00,0.11,42931.18
0,0,4,20,416361.67,0.12,72692.60
0,0,4,84,330923.50,0.11,46003.63
0,0,4,6,918269.65,0.20,77213.50
0,0,4,7,1173185.00,0.23,82570.93
0,0,4,234,744367.50,0.15,61315.95
0,0,4,1000,771243.75,0.16,66614.90
0,0,4,42,1605688.00,0.35,116217.52
0,0,4,81,1511910.00,0.32,102946.10
2,0,4,777,301704.00,0.11,47823.25
2,0,4,55,416105.47,0.12,93080.38
2,0,4,20,199099.17,0.10,68380.70
2,0,4,6,574513.90,0.14,56019.58
2,0,4,234,323520.50,0.11,43952.03
2,0,4,7,882020.75,0.18,64816.60
2,0,4,42,962259.00,0.19,66580.18
2,0,4,1000,777650.50,0.16,60549.70
2,0,4,84,795782.00,0.17,67148.38
2,0,4,81,1801992.50,0.41,119561.62
2,1,4,777,1376640.50,0.29,75409.65
2,1,4,42,1448431.25,0.30,96583.80
2,1,4,55,267768.97,0.11,91654.75
2,1,4,7,548614.50,0.13,51660.98
2,1,4,6,1855341.75,0.44,115413.32
2,1,4,84,720895.00,0.16,64917.80
2,1,4,234,384497.50,0.12,49329.33
2,1,4,20,665419.68,0.15,71110.68
2,1,4,1000,847058.25,0.17,59747.00
2,1,4,81,991688.75,0.20,74485.12
0,0,5,42,315568.22,0.11,67292.26
0,0,5,7,835658.50,0.19,95893.82
0,0,5,6,999755.80,0.21,83158.28
0,0,5,777,1303081.96,0.31,109654.82
0,0,5,20,1316671.64,0.37,88916.66
0,0,5,55,1416022.00,0.32,115271.60
0,0,5,84,1356139.80,0.31,127006.64
0,0,5,1000,854214.20,0.17,77681.46
0,0,5,234,1739914.20,0.46,121508.78
0,0,5,81,1599049.80,0.41,123022.58
2,0,5,20,242141.28,0.11,60741.80
2,0,5,777,341790.16,0.11,65269.32
2,0,5,84,151504.40,0.10,70943.38
2,0,5,6,497280.00,0.13,48567.22
2,0,5,55,658835.40,0.15,51655.74
2,0,5,7,644340.10,0.15,69980.46
2,0,5,42,637842.42,0.15,70323.22
2,0,5,234,255043.80,0.11,44281.48
2,0,5,81,427472.20,0.12,46380.18
2,0,5,1000,1201689.00,0.26,82456.46
2,1,5,55,1207660.40,0.25,65323.12
2,1,5,42,256751.62,0.11,62979.02
2,1,5,777,352861.16,0.11,65755.30
2,1,5,6,666575.36,0.15,63036.70
2,1,5,20,878794.90,0.18,71888.96
2,1,5,7,173037.42,0.10,77061.98
2,1,5,234,294993.40,0.11,44772.22
2,1,5,84,499606.40,0.13,66048.46
2,1,5,81,776294.80,0.16,56389.76
2,1,5,1000,1029831.60,0.21,70708.70
0,0,6,42,676142.20,0.16,86155.58
0,0,6,55,871047.83,0.18,83370.40
0,0,6,20,978239.48,0.22,100814.25
0,0,6,6,1115553.00,0.25,96000.93
0,0,6,7,1257470.67,0.27,109640.08
0,0,6,777,1343206.40,0.31,125682.43
0,0,6,1000,468058.17,0.12,60488.35
0,0,6,84,1322556.33,0.29,117078.75
0,0,6,81,1051855.33,0.22,98422.87
0,0,6,234,1749668.83,0.41,145297.95
2,0,6,42,277702.37,0.11,57890.80
2,0,6,777,139585.07,0.10,64509.87
2,0,6,20,301850.48,0.11,52223.05
2,0,6,55,404400.67,0.12,45392.93
2,0,6,234,200166.83,0.10,51911.25
2,0,6,6,463543.33,0.12,45727.97
2,0,6,84,459828.67,0.12,47916.30
2,0,6,7,670268.00,0.15,54546.53
2,0,6,81,454072.33,0.12,52343.92
2,0,6,1000,628236.33,0.14,53098.77
2,1,6,55,521133.00,0.13,49342.93
2,1,6,42,335015.37,0.11,61139.33
2,1,6,777,272528.20,0.11,57296.75
2,1,6,6,708599.50,0.16,57795.87
2,1,6,7,555021.83,0.13,53336.65
2,1,6,84,533757.50,0.13,51921.90
2,1,6,20,657007.58,0.15,66310.82
2,1,6,234,409526.17,0.12,54275.98
2,1,6,1000,312918.50,0.11,47758.15
2,1,6,81,384068.67,0.12,49135.55
0,0,7,42,804376.46,0.18,96736.41
0,0,7,55,794972.83,0.18,96186.46
0,0,7,20,881620.00,0.17,83696.57
0,0,7,777,1040299.11,0.22,112965.54
0,0,7,6,1049767.71,0.22,99944.33
0,0,7,234,472558.83,0.12,72913.84
0,0,7,1000,873583.21,0.19,101291.64
0,0,7,81,1232149.29,0.26,110953.96
0,0,7,84,1438293.43,0.36,137928.34
0,0,7,7,2810411.86,1.05,231232.89
2,0,7,55,330961.26,0.11,58314.43
2,0,7,42,338927.46,0.11,62202.69
2,0,7,20,487659.00,0.12,49715.94
2,0,7,777,490148.97,0.13,63027.23
2,0,7,84,252976.29,0.11,52403.33
2,0,7,7,643305.57,0.15,74332.94
2,0,7,6,717001.29,0.15,57322.30
2,0,7,1000,332544.50,0.11,63749.91
2,0,7,234,326619.40,0.11,61834.94
2,0,7,81,776466.14,0.17,60332.44
2,1,7,777,230873.69,0.11,68614.53
2,1,7,42,332995.74,0.11,56681.80
2,1,7,55,346717.26,0.11,58012.33
